iter	Passed	Remaining
0	143	857893
1	150	450768
2	157	315269
3	165	247692
4	172	206815
5	179	179420
6	186	159955
7	190	142846
8	197	131759
9	204	122601
10	211	115349
11	218	109145
12	225	103932
13	232	99521
14	239	95646
15	246	92292
16	253	89206
17	260	86445
18	266	84045
19	273	81858
20	280	79973
21	287	78217
22	294	76650
23	301	75119
24	308	73656
25	315	72493
26	322	71349
27	329	70329
28	336	69286
29	343	68386
30	349	67275
31	356	66422
32	362	65513
33	369	64779
34	376	64116
35	382	63442
36	387	62495
37	395	62109
38	402	61523
39	409	61058
40	416	60570
41	424	60204
42	431	59753
43	438	59327
44	445	58909
45	452	58508
46	459	58164
47	466	57809
48	473	57502
49	476	56762
50	483	56432
51	490	56132
52	497	55817
53	504	55529
54	511	55253
55	518	55010
56	525	54741
57	531	54493
58	538	54264
59	546	54066
60	553	53867
61	560	53690
62	568	53551
63	575	53372
64	583	53307
65	590	53117
66	597	52918
67	604	52745
68	611	52566
69	618	52415
70	625	52231
71	632	52085
72	639	51946
73	646	51789
74	653	51616
75	660	51466
76	667	51330
77	671	50967
78	678	50836
79	685	50697
80	691	50563
81	699	50479
82	706	50334
83	713	50244
84	720	50125
85	727	50038
86	735	49972
87	742	49906
88	749	49788
89	756	49692
90	763	49594
91	770	49480
92	777	49392
93	784	49271
94	790	49165
95	797	49065
96	805	49044
97	812	48961
98	832	49632
99	840	49569
100	847	49515
101	856	49545
102	865	49532
103	873	49521
104	881	49485
105	889	49478
106	897	49403
107	904	49358
108	911	49272
109	919	49228
110	927	49182
111	935	49156
112	942	49082
113	949	49023
114	956	48962
115	964	48904
116	968	48701
117	975	48644
118	983	48629
119	991	48576
120	999	48561
121	1008	48578
122	1017	48613
123	1025	48582
124	1033	48584
125	1041	48549
126	1049	48521
127	1056	48463
128	1064	48427
129	1070	48355
130	1078	48307
131	1085	48248
132	1092	48211
133	1099	48150
134	1107	48104
135	1114	48037
136	1121	47995
137	1128	47942
138	1135	47898
139	1143	47862
140	1150	47821
141	1158	47786
142	1165	47729
143	1172	47688
144	1180	47647
145	1187	47597
146	1194	47550
147	1201	47500
148	1205	47328
149	1212	47285
150	1219	47253
151	1226	47205
152	1233	47156
153	1241	47121
154	1248	47076
155	1255	47026
156	1262	46979
157	1269	46940
158	1276	46886
159	1283	46847
160	1290	46795
161	1297	46768
162	1304	46723
163	1312	46693
164	1319	46652
165	1326	46608
166	1333	46568
167	1339	46485
168	1346	46473
169	1354	46442
170	1361	46426
171	1369	46403
172	1376	46376
173	1384	46355
174	1391	46333
175	1399	46302
176	1405	46227
177	1412	46198
178	1419	46174
179	1427	46146
180	1434	46108
181	1442	46107
182	1448	46042
183	1456	46045
184	1463	46014
185	1471	46009
186	1479	45983
187	1486	45963
188	1494	45957
189	1501	45925
190	1510	45928
191	1517	45917
192	1526	45919
193	1533	45890
194	1541	45887
195	1549	45894
196	1558	45921
197	1567	45923
198	1574	45911
199	1582	45900
200	1590	45876
201	1597	45858
202	1605	45840
203	1613	45834
204	1621	45827
205	1628	45814
206	1636	45802
207	1643	45776
208	1651	45770
209	1656	45660
210	1663	45653
211	1671	45638
212	1679	45629
213	1682	45497
214	1690	45481
215	1698	45488
216	1705	45458
217	1714	45464
218	1721	45439
219	1729	45427
220	1736	45401
221	1744	45394
222	1751	45375
223	1759	45359
224	1766	45334
225	1774	45328
226	1781	45301
227	1812	45887
228	1819	45856
229	1827	45844
230	1834	45823
231	1842	45800
232	1849	45781
233	1857	45776
234	1864	45745
235	1872	45734
236	1880	45716
237	1887	45697
238	1895	45683
239	1902	45669
240	1910	45642
241	1917	45614
242	1924	45595
243	1932	45581
244	1939	45551
245	1946	45528
246	1954	45530
247	1962	45509
248	1970	45511
249	1977	45489
250	1985	45478
251	1992	45447
252	1996	45353
253	2003	45326
254	2010	45302
255	2014	45190
256	2021	45167
257	2027	45120
258	2034	45103
259	2041	45080
260	2049	45060
261	2056	45037
262	2063	45019
263	2070	44994
264	2078	44972
265	2085	44948
266	2092	44926
267	2099	44902
268	2106	44883
269	2114	44864
270	2121	44842
271	2128	44817
272	2135	44795
273	2142	44774
274	2149	44754
275	2157	44738
276	2164	44718
277	2171	44694
278	2178	44664
279	2185	44644
280	2192	44628
281	2199	44602
282	2206	44583
283	2213	44554
284	2220	44536
285	2228	44513
286	2235	44496
287	2242	44473
288	2249	44452
289	2257	44454
290	2265	44436
291	2271	44412
292	2278	44387
293	2286	44380
294	2293	44354
295	2301	44346
296	2308	44336
297	2316	44324
298	2324	44316
299	2331	44299
300	2339	44296
301	2347	44290
302	2355	44280
303	2363	44275
304	2371	44276
305	2380	44287
306	2387	44276
307	2395	44272
308	2403	44262
309	2411	44262
310	2418	44236
311	2426	44229
312	2433	44221
313	2441	44216
314	2449	44202
315	2457	44195
316	2464	44173
317	2471	44155
318	2478	44140
319	2486	44130
320	2494	44123
321	2501	44108
322	2508	44091
323	2515	44069
324	2522	44049
325	2526	43973
326	2534	43971
327	2543	43983
328	2551	43974
329	2558	43964
330	2566	43952
331	2573	43932
332	2580	43917
333	2588	43906
334	2595	43894
335	2603	43882
336	2610	43874
337	2619	43874
338	2626	43855
339	2633	43848
340	2641	43837
341	2649	43837
342	2656	43818
343	2664	43813
344	2672	43800
345	2680	43797
346	2687	43784
347	2695	43774
348	2702	43763
349	2711	43764
350	2718	43750
351	2726	43744
352	2733	43736
353	2741	43722
354	2748	43708
355	2755	43682
356	2762	43668
357	2784	43878
358	2817	44268
359	2825	44268
360	2833	44265
361	2842	44275
362	2851	44279
363	2859	44270
364	2866	44260
365	2874	44245
366	2883	44250
367	2893	44275
368	2901	44284
369	2910	44290
370	2916	44249
371	2924	44245
372	2932	44240
373	2941	44243
374	2948	44233
375	2956	44228
376	2966	44251
377	2975	44254
378	2983	44242
